School,Conference
duke,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
north-carolina,Atlantic Coast Conference
maryland,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
virginia,Atlantic Coast Conference
clemson,Atlantic Coast Conference
boston-university,America East Conference
vermont,America East Conference
northeastern,America East Conference
maine,America East Conference
binghamton,America East Conference
hartford,America East Conference
new-hampshire,America East Conference
stony-brook,America East Conference
maryland-baltimore-county,America East Conference
albany-ny,America East Conference
saint-josephs,Atlantic 10 Conference
temple,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
fordham,Atlantic 10 Conference
dayton,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
xavier,Atlantic 10 Conference
richmond,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
troy,Atlantic Sun Conference
central-florida,Atlantic Sun Conference
belmont,Atlantic Sun Conference
georgia-state,Atlantic Sun Conference
stetson,Atlantic Sun Conference
mercer,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
florida-atlantic,Atlantic Sun Conference
gardner-webb,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
campbell,Atlantic Sun Conference
oklahoma-state,Big 12 Conference
texas,Big 12 Conference
kansas,Big 12 Conference
colorado,Big 12 Conference
texas-tech,Big 12 Conference
missouri,Big 12 Conference
oklahoma,Big 12 Conference
iowa-state,Big 12 Conference
kansas-state,Big 12 Conference
nebraska,Big 12 Conference
baylor,Big 12 Conference
texas-am,Big 12 Conference
pittsburgh,Big East Conference
connecticut,Big East Conference
providence,Big East Conference
syracuse,Big East Conference
boston-college,Big East Conference
seton-hall,Big East Conference
notre-dame,Big East Conference
virginia-tech,Big East Conference
rutgers,Big East Conference
west-virginia,Big East Conference
villanova,Big East Conference
georgetown,Big East Conference
miami-fl,Big East Conference
st-johns-ny,Big East Conference
eastern-washington,Big Sky Conference
northern-arizona,Big Sky Conference
weber-state,Big Sky Conference
sacramento-state,Big Sky Conference
