School,Conference
north-carolina,Atlantic Coast Conference
virginia,Atlantic Coast Conference
virginia-tech,Atlantic Coast Conference
boston-college,Atlantic Coast Conference
maryland,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
duke,Atlantic Coast Conference
clemson,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
miami-fl,Atlantic Coast Conference
vermont,America East Conference
albany-ny,America East Conference
boston-university,America East Conference
maine,America East Conference
maryland-baltimore-county,America East Conference
binghamton,America East Conference
new-hampshire,America East Conference
hartford,America East Conference
stony-brook,America East Conference
xavier,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
fordham,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
saint-josephs,Atlantic 10 Conference
dayton,Atlantic 10 Conference
saint-louis,Atlantic 10 Conference
charlotte,Atlantic 10 Conference
temple,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
richmond,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
east-tennessee-state,Atlantic Sun Conference
belmont,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
jacksonville,Atlantic Sun Conference
mercer,Atlantic Sun Conference
campbell,Atlantic Sun Conference
gardner-webb,Atlantic Sun Conference
stetson,Atlantic Sun Conference
kansas,Big 12 Conference
texas-am,Big 12 Conference
texas,Big 12 Conference
kansas-state,Big 12 Conference
texas-tech,Big 12 Conference
missouri,Big 12 Conference
oklahoma-state,Big 12 Conference
iowa-state,Big 12 Conference
oklahoma,Big 12 Conference
nebraska,Big 12 Conference
baylor,Big 12 Conference
colorado,Big 12 Conference
georgetown,Big East Conference
louisville,Big East Conference
pittsburgh,Big East Conference
notre-dame,Big East Conference
syracuse,Big East Conference
marquette,Big East Conference
west-virginia,Big East Conference
depaul,Big East Conference
villanova,Big East Conference
providence,Big East Conference
st-johns-ny,Big East Conference
connecticut,Big East Conference
seton-hall,Big East Conference
south-florida,Big East Conference
rutgers,Big East Conference
cincinnati,Big East Conference
weber-state,Big Sky Conference
northern-arizona,Big Sky Conference
montana,Big Sky Conference
portland-state,Big Sky Conference
eastern-washington,Big Sky Conference
idaho-state,Big Sky Conference
montana-state,Big Sky Conference
sacramento-state,Big Sky Conference
winthrop,Big South Conference
high-point,Big South Conference
liberty,Big South Conference
coastal-carolina,Big South Conference
north-carolina-asheville,Big South Conference
virginia-military-institute,Big South Conference
radford,Big South Conference
charleston-southern,Big South Conference
ohio-state,Big Ten Conference
wisconsin,Big Ten Conference
indiana,Big Ten Conference
iowa,Big Ten Conference
purdue,Big Ten Conference
illinois,Big Ten Conference
michigan-state,Big Ten Conference
michigan,Big Ten Conference
minnesota,Big Ten Conference
northwestern,Big Ten Conference
penn-state,Big Ten Conference
long-beach-state,Big West Conference
cal-state-fullerton,Big West Conference
cal-poly,Big West Conference
california-santa-barbara,Big West Conference
california-irvine,Big West Conference
cal-state-northridge,Big West Conference
pacific,Big West Conference
california-riverside,Big West Conference
virginia-commonwealth,Colonial Athletic Association
old-dominion,Colonial Athletic Association
hofstra,Colonial Athletic Association
drexel,Colonial Athletic Association
northeastern,Colonial Athletic Association
george-mason,Colonial Athletic Association
towson,Colonial Athletic Association
william-mary,Colonial Athletic Association
georgia-state,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
james-madison,Colonial Athletic Association
delaware,Colonial Athletic Association
memphis,Conference USA
central-florida,Conference USA
houston,Conference USA
tulsa,Conference USA
tulane,Conference USA
southern-mississippi,Conference USA
rice,Conference USA
marshall,Conference USA
alabama-birmingham,Conference USA
texas-el-paso,Conference USA
southern-methodist,Conference USA
east-carolina,Conference USA
wright-state,Horizon League
butler,Horizon League
loyola-il,Horizon League
green-bay,Horizon League
youngstown-state,Horizon League
illinois-chicago,Horizon League
milwaukee,Horizon League
detroit-mercy,Horizon League
cleveland-state,Horizon League
pennsylvania,Ivy Group
yale,Ivy Group
cornell,Ivy Group
columbia,Ivy Group
brown,Ivy Group
harvard,Ivy Group
dartmouth,Ivy Group
princeton,Ivy Group
marist,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
siena,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
iona,Metro Atlantic Athletic Conference
akron,Mid-American Conference
kent-state,Mid-American Conference
miami-oh,Mid-American Conference
ohio,Mid-American Conference
buffalo,Mid-American Conference
bowling-green-state,Mid-American Conference
toledo,Mid-American Conference
western-michigan,Mid-American Conference
central-michigan,Mid-American Conference
eastern-michigan,Mid-American Conference
ball-state,Mid-American Conference
northern-illinois,Mid-American Conference
delaware-state,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
hampton,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
southern-illinois,Missouri Valley Conference
creighton,Missouri Valley Conference
missouri-state,Missouri Valley Conference
bradley,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
wichita-state,Missouri Valley Conference
drake,Missouri Valley Conference
illinois-state,Missouri Valley Conference
evansville,Missouri Valley Conference
indiana-state,Missouri Valley Conference
brigham-young,Mountain West Conference
nevada-las-vegas,Mountain West Conference
san-diego-state,Mountain West Conference
air-force,Mountain West Conference
wyoming,Mountain West Conference
colorado-state,Mountain West Conference
utah,Mountain West Conference
texas-christian,Mountain West Conference
new-mexico,Mountain West Conference
central-connecticut-state,Northeast Conference
sacred-heart,Northeast Conference
quinnipiac,Northeast Conference
robert-morris,Northeast Conference
mount-st-marys,Northeast Conference
fairleigh-dickinson,Northeast Conference
wagner,Northeast Conference
st-francis-ny,Northeast Conference
monmouth,Northeast Conference
long-island-university,Northeast Conference
saint-francis-pa,Northeast Conference
austin-peay,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
tennessee-tech,Ohio Valley Conference
murray-state,Ohio Valley Conference
samford,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
morehead-state,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
jacksonville-state,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
holy-cross,Patriot League
bucknell,Patriot League
lehigh,Patriot League
american,Patriot League
colgate,Patriot League
army,Patriot League
navy,Patriot League
lafayette,Patriot League
florida,Southeastern Conference
vanderbilt,Southeastern Conference
tennessee,Southeastern Conference
kentucky,Southeastern Conference
georgia,Southeastern Conference
south-carolina,Southeastern Conference
mississippi-state,Southeastern Conference
mississippi,Southeastern Conference
arkansas,Southeastern Conference
auburn,Southeastern Conference
alabama,Southeastern Conference
louisiana-state,Southeastern Conference
appalachian-state,Southern Conference
north-carolina-greensboro,Southern Conference
western-carolina,Southern Conference
chattanooga,Southern Conference
elon,Southern Conference
davidson,Southern Conference
college-of-charleston,Southern Conference
furman,Southern Conference
georgia-southern,Southern Conference
wofford,Southern Conference
citadel,Southern Conference
northwestern-state,Southland Conference
mcneese-state,Southland Conference
southeastern-louisiana,Southland Conference
lamar,Southland Conference
nicholls-state,Southland Conference
texas-am-corpus-christi,Southland Conference
sam-houston-state,Southland Conference
stephen-f-austin,Southland Conference
texas-arlington,Southland Conference
texas-state,Southland Conference
texas-san-antonio,Southland Conference
south-alabama,Sun Belt Conference
western-kentucky,Sun Belt Conference
florida-atlantic,Sun Belt Conference
troy,Sun Belt Conference
middle-tennessee,Sun Belt Conference
florida-international,Sun Belt Conference
arkansas-state,Sun Belt Conference
louisiana-monroe,Sun Belt Conference
north-texas,Sun Belt Conference
new-orleans,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
denver,Sun Belt Conference
mississippi-valley-state,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
grambling,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
texas-southern,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
southern,Southwest Athletic Conference
alabama-state,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
nevada,Western Athletic Conference
new-mexico-state,Western Athletic Conference
fresno-state,Western Athletic Conference
utah-state,Western Athletic Conference
hawaii,Western Athletic Conference
boise-state,Western Athletic Conference
louisiana-tech,Western Athletic Conference
san-jose-state,Western Athletic Conference
idaho,Western Athletic Conference
gonzaga,West Coast Conference
santa-clara,West Coast Conference
saint-marys-ca,West Coast Conference
san-francisco,West Coast Conference
san-diego,West Coast Conference
loyola-marymount,West Coast Conference
portland,West Coast Conference
pepperdine,West Coast Conference
texas-pan-american,Independent
ipfw,Independent
savannah-state,Independent
chicago-state,Independent
